gal,wavelength_number,wavelength,AlAv,AlAv_err,tags,ref
MW,6.3419,0.157681451930809,2.57366,0.0494069,iue,Gordon2009
MW,6.3165,0.158315522837014,2.58391,0.0490926,iue,Gordon2009
MW,6.29121,0.158951934524519,2.56651,0.0485171,iue,Gordon2009
MW,6.26602,0.159590936511534,2.53891,0.0476265,iue,Gordon2009
MW,6.24093,0.160232529446733,2.5498,0.0488545,iue,Gordon2009
MW,6.21594,0.160876713739193,2.547,0.048111,iue,Gordon2009
MW,6.19105,0.161523489553468,2.52921,0.0465552,iue,Gordon2009
MW,6.16625,0.162173119805392,2.53505,0.0456084,iue,Gordon2009
MW,6.14156,0.162825080272765,2.53957,0.0465916,iue,Gordon2009
MW,6.11697,0.163479631255344,2.49688,0.0438029,iue,Gordon2009
MW,6.09247,0.164137041298521,2.50546,0.0443429,iue,Gordon2009
MW,6.06808,0.164796772620005,2.5158,0.0436129,iue,Gordon2009
MW,6.04378,0.16545936483459,2.53622,0.0431271,iue,Gordon2009
MW,6.01958,0.166124546895298,2.51002,0.0438585,iue,Gordon2009
MW,5.99547,0.166792595075949,2.51476,0.0437505,iue,Gordon2009
MW,5.97147,0.167462953008221,2.50015,0.0432799,iue,Gordon2009
MW,5.94755,0.168136459550571,2.51407,0.0428038,iue,Gordon2009
MW,5.92374,0.168812270626327,2.49824,0.0418432,iue,Gordon2009
MW,5.90002,0.169490950878133,2.50799,0.0427744,iue,Gordon2009
MW,5.87639,0.17017250386717,2.49206,0.0426111,iue,Gordon2009
MW,5.85286,0.17085664102678,2.51322,0.0430678,iue,Gordon2009
MW,5.82942,0.171543652713306,2.53216,0.043576,iue,Gordon2009
MW,5.80608,0.172233245149912,2.49304,0.0449369,iue,Gordon2009
MW,5.78283,0.17292571284302,2.50232,0.0427624,iue,Gordon2009
MW,5.75968,0.173620756708706,2.49258,0.0420389,iue,Gordon2009
MW,5.73661,0.174318979327512,2.49553,0.0433408,iue,Gordon2009
MW,5.71364,0.175019777234828,2.49845,0.0431901,iue,Gordon2009
MW,5.69076,0.175723453457886,2.48743,0.0408719,iue,Gordon2009
MW,5.66797,0.176430009333147,2.49823,0.0410534,iue,Gordon2009
MW,5.64528,0.177139132159964,2.51739,0.0432204,iue,Gordon2009
MW,5.62267,0.177851447799711,2.51013,0.0428762,iue,Gordon2009
MW,5.60016,0.178566326676381,2.51298,0.0412307,iue,Gordon2009
MW,5.57773,0.179284404228961,2.5099,0.0434997,iue,Gordon2009
MW,5.5554,0.180005040141124,2.51117,0.0390442,iue,Gordon2009
MW,5.53315,0.180728879571311,2.50904,0.0404766,iue,Gordon2009
MW,5.51099,0.181455600536383,2.50831,0.0409797,iue,Gordon2009
MW,5.48893,0.182184870275263,2.52974,0.0407884,iue,Gordon2009
MW,5.46695,0.182917348795947,2.52566,0.0407895,iue,Gordon2009
MW,5.44505,0.183653042671784,2.53674,0.0418381,iue,Gordon2009
MW,5.42325,0.184391278292537,2.55254,0.0441335,iue,Gordon2009
MW,5.40153,0.185132730911427,2.542,0.0435533,iue,Gordon2009
MW,5.3799,0.185877060911913,2.53676,0.0417593,iue,Gordon2009
MW,5.35836,0.186624265633515,2.54664,0.0411644,iue,Gordon2009
MW,5.33691,0.187374342081841,2.54644,0.0394862,iue,Gordon2009
MW,5.31553,0.188127994762517,2.55759,0.0421479,iue,Gordon2009
MW,5.29425,0.188884166784719,2.5741,0.0443296,iue,Gordon2009
MW,5.27305,0.189643564919733,2.58273,0.0444373,iue,Gordon2009
MW,5.25193,0.190406193532663,2.61147,0.0450305,iue,Gordon2009
MW,5.2309,0.191171691295953,2.61443,0.0445311,iue,Gordon2009
MW,5.20996,0.191940053282559,2.62011,0.0444786,iue,Gordon2009
MW,5.18909,0.192712016943241,2.62936,0.0454764,iue,Gordon2009
MW,5.16832,0.193486471425918,2.63393,0.0437134,iue,Gordon2009
MW,5.14762,0.194264533901104,2.65589,0.0434556,iue,Gordon2009
MW,5.12701,0.195045455343368,2.66957,0.0441117,iue,Gordon2009
MW,5.10648,0.195829612570694,2.68421,0.045317,iue,Gordon2009
MW,5.08603,0.196617007764406,2.70437,0.0426919,iue,Gordon2009
MW,5.06566,0.1974076428343,2.70523,0.0407817,iue,Gordon2009
MW,5.04538,0.198201126575204,2.70803,0.0415202,iue,Gordon2009
MW,5.02517,0.198998242845516,2.7383,0.0436795,iue,Gordon2009
MW,5.00505,0.199798203814148,2.76815,0.0460842,iue,Gordon2009
MW,4.98501,0.200601403006213,2.78111,0.0441931,iue,Gordon2009
MW,4.96505,0.201407840807243,2.77637,0.0429678,iue,Gordon2009
MW,4.94517,0.202217517294653,2.78608,0.0416575,iue,Gordon2009
MW,4.92536,0.203030844445888,2.79124,0.0405409,iue,Gordon2009
MW,4.90564,0.203847000595233,2.84364,0.0449516,iue,Gordon2009
MW,4.886,0.204666393778142,2.84704,0.0422263,iue,Gordon2009
MW,4.86643,0.205489445034656,2.84201,0.04354,iue,Gordon2009
MW,4.84695,0.206315311690857,2.91489,0.0447088,iue,Gordon2009
MW,4.82754,0.207144839814895,2.89018,0.0427848,iue,Gordon2009
MW,4.80821,0.207977604971497,2.91718,0.0427436,iue,Gordon2009
MW,4.78895,0.208814040656094,2.94838,0.0454757,iue,Gordon2009
MW,4.76978,0.209653275413122,2.98511,0.0459811,iue,Gordon2009
MW,4.75068,0.210496181599266,2.98107,0.0452352,iue,Gordon2009
MW,4.73165,0.211342766265468,3.03746,0.0473206,iue,Gordon2009
MW,4.71271,0.212192135735065,2.99576,0.0440146,iue,Gordon2009
MW,4.69383,0.213045636505796,3.05553,0.0460769,iue,Gordon2009
MW,4.67504,0.213901913138711,3.07511,0.0476268,iue,Gordon2009
MW,4.65632,0.214761872036286,3.07822,0.0476545,iue,Gordon2009
MW,4.63767,0.215625518848905,3.06783,0.0466497,iue,Gordon2009
MW,4.6191,0.216492390292481,3.09312,0.0461933,iue,Gordon2009
MW,4.60061,0.217362480192844,3.05633,0.0468001,iue,Gordon2009
MW,4.58218,0.218236734480095,3.05563,0.0456869,iue,Gordon2009
MW,4.56383,0.219114208899104,3.09865,0.0484227,iue,Gordon2009
MW,4.54556,0.21999489611841,3.05498,0.0460075,iue,Gordon2009
MW,4.52736,0.220879276222788,3.06246,0.0460413,iue,Gordon2009
MW,4.50923,0.221767352740934,3.02764,0.0450113,iue,Gordon2009
MW,4.49117,0.222659128912956,2.99527,0.0462236,iue,Gordon2009
MW,4.47319,0.22355410791851,3.00572,0.0468239,iue,Gordon2009
MW,4.45528,0.224452784112334,2.95838,0.0438579,iue,Gordon2009
MW,4.43744,0.225355159731737,2.95917,0.0437953,iue,Gordon2009
MW,4.41967,0.226261236698668,2.91366,0.0440855,iue,Gordon2009
MW,4.40197,0.227171016613016,2.88411,0.0427247,iue,Gordon2009
MW,4.38434,0.228084500745836,2.85771,0.0428557,iue,Gordon2009
MW,4.36678,0.229001690032472,2.82407,0.040375,iue,Gordon2009
MW,4.3493,0.229922056422873,2.77112,0.0404052,iue,Gordon2009
MW,4.33188,0.230846653185222,2.73591,0.038604,iue,Gordon2009
MW,4.31454,0.231774418593871,2.72641,0.0383919,iue,Gordon2009
MW,4.29726,0.232706422231841,2.68104,0.0376932,iue,Gordon2009
MW,4.28005,0.233642130348944,2.62841,0.0359274,iue,Gordon2009
MW,4.26291,0.234581541716808,2.63436,0.0366497,iue,Gordon2009
MW,4.24584,0.235524654720856,2.57767,0.0347373,iue,Gordon2009
MW,4.22884,0.236471467352749,2.58473,0.0364086,iue,Gordon2009
MW,4.21191,0.237421977202742,2.54006,0.0331321,iue,Gordon2009
MW,4.19504,0.238376749685343,2.51824,0.0339372,iue,Gordon2009
MW,4.17824,0.239335222486023,2.4764,0.0342494,iue,Gordon2009
MW,4.16151,0.240297392052404,2.45969,0.0340913,iue,Gordon2009
MW,4.14485,0.241263254400039,2.43959,0.0320641,iue,Gordon2009
MW,4.12825,0.24223339187307,2.41843,0.0325347,iue,Gordon2009
MW,4.11172,0.243207222281673,2.37988,0.03207,iue,Gordon2009
MW,4.09525,0.244185336670533,2.36786,0.0303993,iue,Gordon2009
MW,4.07886,0.24516654163173,2.33728,0.0301872,iue,Gordon2009
MW,4.06252,0.246152634325492,2.31928,0.0304542,iue,Gordon2009
MW,4.04626,0.247141805024887,2.29395,0.0295561,iue,Gordon2009
MW,4.03005,0.248135879207454,2.27981,0.0285186,iue,Gordon2009
MW,4.01391,0.249133637774639,2.28779,0.0300075,iue,Gordon2009
MW,3.99784,0.250135072939387,2.22856,0.0277648,iue,Gordon2009
MW,3.98183,0.251140807116326,2.23069,0.0288373,iue,Gordon2009
MW,3.96589,0.252150210923651,2.19755,0.0272505,iue,Gordon2009
MW,3.95001,0.253163916040719,2.20688,0.0259275,iue,Gordon2009
MW,3.93419,0.254181928173271,2.19122,0.026904,iue,Gordon2009
MW,3.91844,0.255203601433223,2.1896,0.0273099,iue,Gordon2009
MW,3.90275,0.256229581705208,2.15048,0.0270734,iue,Gordon2009
MW,3.88712,0.25725987363395,2.11892,0.0255038,iue,Gordon2009
MW,3.87155,0.258294481538402,2.10666,0.0250177,iue,Gordon2009
MW,3.85605,0.259332736868039,2.10841,0.0253357,iue,Gordon2009
MW,3.84061,0.260375304964576,2.11195,0.0243852,iue,Gordon2009
MW,3.82523,0.261422188992557,2.08599,0.0235365,iue,Gordon2009
MW,3.80991,0.26247339175991,2.07774,0.0243051,iue,Gordon2009
MW,3.79466,0.263528221237212,2.06357,0.0234035,iue,Gordon2009
MW,3.77946,0.264588062844957,2.04322,0.0243984,iue,Gordon2009
MW,3.76433,0.265651523644314,2.04653,0.0238785,iue,Gordon2009
MW,3.74925,0.2667200106688,2.05064,0.0233703,iue,Gordon2009
