composition,compostion_id,grain_size,size_index,stochastic_heating,heating_timescale,cooling_timescale,heat2cool_ratio,type,scale,temperature,wavelength,Cext,Cabs,Csca,albedo,g,eq_emis,st_emis
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.260832,4.93565E-17,4.93564E-17,5.41681E-23,1.09749E-06,5.06784E-06,0,2.72748E-20
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.274221,4.07226E-17,4.07226E-17,3.90704E-23,9.59429E-07,6.77691E-06,0,4.58451E-20
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.288297,3.51948E-17,3.51948E-17,2.91213E-23,8.27433E-07,9.09194E-06,0,7.74757E-20
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.303095,3.09569E-17,3.09569E-17,2.24408E-23,7.24905E-07,1.01939E-05,0,1.2816E-19
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.318653,2.73309E-17,2.73309E-17,1.74741E-23,6.39352E-07,1.06359E-05,0,2.05064E-19
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.335009,2.45074E-17,2.45074E-17,1.37636E-23,5.61608E-07,1.04589E-05,0,3.21753E-19
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.352205,2.23259E-17,2.23258E-17,1.09747E-23,4.91569E-07,9.92402E-06,0,4.96088E-19
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.370284,2.05029E-17,2.05029E-17,8.82833E-24,4.30589E-07,9.27773E-06,0,7.47108E-19
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.389291,1.87877E-17,1.87877E-17,7.15635E-24,3.80906E-07,8.64973E-06,0,1.08963E-18
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.409273,1.71478E-17,1.71478E-17,5.81837E-24,3.39308E-07,8.04008E-06,0,1.53881E-18
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.430281,1.55774E-17,1.55773E-17,4.73522E-24,3.03981E-07,7.4609E-06,0,2.10598E-18
