composition,compostion_id,grain_size,size_index,stochastic_heating,heating_timescale,cooling_timescale,heat2cool_ratio,type,scale,temperature,wavelength,Cext,Cabs,Csca,albedo,g,eq_emis,st_emis
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.193164,1.35447E-16,1.35447E-16,1.15528E-22,8.5294E-07,1.95068E-05,0,2.84653E-21
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.203079,1.77395E-16,1.77395E-16,1.76298E-22,9.9382E-07,1.56426E-05,0,1.05601E-20
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.213503,2.1853E-16,2.1853E-16,2.16292E-22,9.89756E-07,1.20307E-05,0,3.49229E-20
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.224463,2.09953E-16,2.09953E-16,1.79658E-22,8.55707E-07,8.90729E-06,0,8.55986E-20
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.235984,1.62425E-16,1.62425E-16,1.21861E-22,7.5026E-07,6.3571E-06,0,1.6097E-19
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.248097,1.2289E-16,1.2289E-16,7.88745E-23,6.41828E-07,4.8698E-06,0,2.82762E-19
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.260832,9.85558E-17,9.85557E-17,5.41681E-23,5.49619E-07,5.06784E-06,0,5.04047E-19
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.274221,8.4011E-17,8.4011E-17,3.90704E-23,4.65063E-07,6.77691E-06,0,9.16312E-19
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.288297,7.49534E-17,7.49533E-17,2.91213E-23,3.88526E-07,9.09194E-06,0,1.67632E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.303095,6.8039E-17,6.80389E-17,2.24408E-23,3.29823E-07,1.01939E-05,0,3.00595E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.318653,5.96135E-17,5.96135E-17,1.74741E-23,2.93122E-07,1.06359E-05,0,5.02161E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.335009,5.25255E-17,5.25255E-17,1.37636E-23,2.62036E-07,1.04589E-05,0,8.15703E-18
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.352205,4.59915E-17,4.59915E-17,1.09747E-23,2.38624E-07,9.92402E-06,0,1.27534E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.370284,3.99974E-17,3.99974E-17,8.82833E-24,2.20723E-07,9.27773E-06,0,1.92125E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.389291,3.45337E-17,3.45337E-17,7.15635E-24,2.07228E-07,8.64973E-06,0,2.79173E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.409273,2.95957E-17,2.95957E-17,5.81837E-24,1.96595E-07,8.04008E-06,0,3.91776E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.430281,2.51486E-17,2.51486E-17,4.73522E-24,1.88289E-07,7.4609E-06,0,5.31119E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.452368,2.11539E-17,2.11539E-17,3.85314E-24,1.82148E-07,6.86271E-06,1.42979E-302,6.9532E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.475588,1.75531E-17,1.75531E-17,3.13745E-24,1.7874E-07,6.28982E-06,5.11528E-288,8.7708E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.5,1.42179E-17,1.42179E-17,2.56143E-24,1.80155E-07,5.7402E-06,3.40519E-274,1.05604E-16
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.525665,1.07596E-17,1.07596E-17,2.0934E-24,1.94561E-07,5.22056E-06,4.37753E-261,1.16288E-16
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.552647,6.77541E-18,6.77541E-18,1.71153E-24,2.52608E-07,4.74715E-06,1.0452E-248,1.04408E-16
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.581015,4.53443E-18,4.53443E-18,1.40613E-24,3.10101E-07,4.30726E-06,6.37083E-237,9.77135E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.610839,3.62594E-18,3.62594E-18,1.15557E-24,3.18694E-07,3.90876E-06,1.19481E-225,1.07259E-16
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.642193,2.43001E-18,2.43001E-18,9.49491E-25,3.90735E-07,3.54731E-06,5.16684E-215,9.69382E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.675157,1.19845E-18,1.19845E-18,7.81056E-25,6.51724E-07,3.22076E-06,4.8183E-205,6.33856E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.709813,7.41436E-19,7.41435E-19,6.43594E-25,8.68037E-07,2.92794E-06,1.75368E-195,5.11491E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.746248,5.73662E-19,5.73662E-19,5.30414E-25,9.24611E-07,2.66623E-06,2.6296E-186,5.08145E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.784553,4.82549E-19,4.82549E-19,4.37004E-25,9.05615E-07,2.42862E-06,1.49053E-177,5.40582E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.824824,4.16855E-19,4.16855E-19,3.59962E-25,8.63517E-07,2.21538E-06,3.17672E-169,5.82027E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.867162,3.62318E-19,3.62318E-19,2.96612E-25,8.1865E-07,2.0235E-06,2.61962E-161,6.21648E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.911674,3.1417E-19,3.1417E-19,2.44281E-25,7.77544E-07,1.84991E-06,8.68312E-154,6.5339E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.95847,2.70836E-19,2.70836E-19,2.01015E-25,7.42202E-07,1.69437E-06,1.20527E-146,6.73761E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,1.00767,2.31768E-19,2.31767E-19,1.65424E-25,7.13752E-07,1.55311E-06,7.29652E-140,6.80854E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,1.05939,1.96677E-19,1.96676E-19,1.36078E-25,6.91889E-07,1.42498E-06,2.00341E-133,6.73802E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,1.11377,1.65348E-19,1.65348E-19,1.11903E-25,6.76774E-07,1.30838E-06,2.58949E-127,6.52666E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,1.17094,1.37637E-19,1.37637E-19,9.19832E-26,6.68304E-07,1.1995E-06,1.63296E-121,6.18621E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,1.23105,1.13452E-19,1.13452E-19,7.56442E-26,6.66749E-07,1.09948E-06,5.20152E-116,5.74035E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,1.29424,9.25204E-20,9.25204E-20,6.2227E-26,6.72576E-07,1.0081E-06,8.64033E-111,5.21169E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,1.36067,7.46049E-20,7.46048E-20,5.11602E-26,6.85748E-07,9.24407E-07,7.71823E-106,4.62859E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,1.43051,5.94713E-20,5.94713E-20,4.20418E-26,7.06925E-07,8.48306E-07,3.81877E-101,4.02155E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,1.50394,4.68816E-20,4.68815E-20,3.45613E-26,7.37204E-07,7.77919E-07,1.0769E-96,3.42056E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,1.58114,3.65092E-20,3.65092E-20,2.84122E-26,7.78219E-07,7.12495E-07,1.7762E-92,2.84608E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,1.6623,2.80844E-20,2.80843E-20,2.33595E-26,8.31761E-07,6.51415E-07,1.75776E-88,2.31705E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,1.74762,2.13628E-20,2.13628E-20,1.92075E-26,8.99108E-07,5.96628E-07,1.07058E-84,1.84827E-17
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,1.83733,1.60813E-20,1.60813E-20,1.57917E-26,9.81992E-07,5.46624E-07,4.11006E-81,1.44613E-17
