reference,wavelength,albedo,albedo_err,g,g_err
Calzetti et al. 1995 (IC 435),2425,0.44,0.05,0.64,0.05
Calzetti et al. 1995 (IC 435),2475,0.46,0.05,0.64,0.05
Calzetti et al. 1995 (IC 435),2525,0.43,0.05,0.7,0.05
Calzetti et al. 1995 (IC 435),2575,0.46,0.05,0.66,0.05
Calzetti et al. 1995 (IC 435),2625,0.48,0.05,0.66,0.05
Calzetti et al. 1995 (IC 435),2675,0.46,0.05,0.66,0.05
Calzetti et al. 1995 (IC 435),2725,0.48,0.05,0.66,0.05
Calzetti et al. 1995 (IC 435),2775,0.48,0.05,0.66,0.05
Calzetti et al. 1995 (IC 435),2825,0.48,0.05,0.66,0.05
Calzetti et al. 1995 (IC 435),2875,0.51,0.05,0.64,0.05
Calzetti et al. 1995 (IC 435),2925,0.54,0.05,0.64,0.05
Calzetti et al. 1995 (IC 435),2975,0.55,0.05,0.64,0.05
Calzetti et al. 1995 (IC 435),3025,0.57,0.05,0.62,0.05
Calzetti et al. 1995 (IC 435),3075,0.64,0.05,0.58,0.05
Calzetti et al. 1995 (IC 435),4400,0.64,0.05,0.58,0.05
Calzetti et al. 1995 (IC 435),5500,0.49,0.05,0.64,0.05
Morgan et al. 1976 (DGL/TD1),2740,0.78,0.2,-1,0
Morgan et al. 1976 (DGL/TD1),2350,0.58,0.15,-1,0
Lehtinen & Mattila 1996 (Thumbprint),12600,0.69,0.11,-1,0
Lehtinen & Mattila 1996 (Thumbprint),16600,0.73,0.13,-1,0
Lehtinen & Mattila 1996 (Thumbprint),21600,0.61,0.15,-1,0
Murthy et al 1993 (DGL/Voyager),1050,0.55,0.25,-1,0
Witt et al. 1997 (DGL/FAUST),1565,0.43,0.05,0.68,0.1
Petersohn 1994 (DGL - DE),1500,0.57,0.15,0.89,0.05
Sujatha et al. 2010 (DGL/GALEX),1550,0.32,0.09,0.51,0.19
Sujatha et al. 2010 (DGL/GALEX),2300,0.45,0.08,0.56,0.1
Petersohn 1995 (DGL - DE),1500,0.57,0.15,0.89,0.05
Burgh et al 2002 (NGC 2023),1082.5,0.31,0.13,0.82,0.13
Burgh et al 2002 (NGC 2023),1132.5,0.31,0.14,0.83,0.13
Burgh et al 2002 (NGC 2023),1170,0.33,0.14,0.81,0.13
Burgh et al 2002 (NGC 2023),1267.5,0.35,0.09,0.83,0.08
Burgh et al 2002 (NGC 2023),1327.5,0.38,0.13,0.81,0.13
Burgh et al 2002 (NGC 2023),1362.5,0.43,0.09,0.78,0.08
Witt et al. 1994,21600,0.6,0.1,-1,0
Sujatha et al. 2007 (DGL/FUSE/Voyager),900,0.28,0.04,0.61,0.07
Sujatha et al. 2007 (DGL/FUSE/Voyager),1000,0.28,0.04,0.61,0.07
Sujatha et al. 2007 (DGL/FUSE/Voyager),1100,0.28,0.04,0.61,0.07
Witt et al. 1993 (NGC 7023),1300,0.55,0.05,0.75,0.05
Witt et al. 1993 (NGC 7023),1111,0.43,0.05,0.75,0.05
Witt et al. 1993 (NGC 7023),1000,0.42,0.05,0.75,0.05
Shalima et al. 2006 (Orion),912,0.3,0.1,-1,0
Shalima et al. 2006 (Orion),935,0.36,0.13,-1,0
Shalima et al. 2006 (Orion),940,0.4,0.14,-1,0
Shalima et al. 2006 (Orion),955,0.41,0.14,-1,0
Shalima et al. 2006 (Orion),975,0.36,0.12,-1,0
Shalima et al. 2006 (Orion),995,0.48,0.17,-1,0
Shalima et al. 2006 (Orion),1020,0.5,0.2,-1,0
Gibson & Nordsieck 2003 (Pleiades),1650,0.42,0.27,0.76,0.1
Gibson & Nordsieck 2003 (Pleiades),2200,0.44,0.29,0.74,0.09
Haikala et al. 1995 (cirrus cloud),1565,0.4,0.32,0.45,0.45
Hurwitz et al 1991 (DGL/UVX),1625,0.18,0.06,0,0.2
Fitzgerald et al. 1976 (Thumbprint),4600,0.7,0.08,0.7,0.03
Lewis et al. 2009 (FUVCam: Sco OB2),1769,0.59,0.07,-1,0
Lewis et al. 2009 (FUVCam: Sco OB2),1362,0.54,0.06,-1,0
Morgan 1990 (alf Ori),2740,0.52,0.16,-1,0
Morgan 1990 (alf Ori),2350,0.28,0.04,-1,0
Morgan 1990 (alf Ori),1950,0.24,0.06,-1,0
Morgan 1990 (alf Ori),1550,0.3,0.03,-1,0
Witt et al. 1992 (NGC 7023),2763,0.72,0.05,0.7,0.05
Witt et al. 1992 (NGC 7023),2184,0.52,0.05,0.7,0.05
Witt et al. 1992 (NGC 7023),1443,0.74,0.05,0.75,0.05
Henry 2002 (DGL),1425,0.2,0.2,-1,0
Murthy & Henry 1995 (DGL/UVX+),1500,0.44,0.22,-1,0
