material,abundance,abund_err,total_abund,total_err
C,13.6146661506786,10.7710583330088,33.1131121482591,8.29635366091529
O,122.550260271164,40.6695459745805,138.038426460289,28.6303374378821
Mg,6.60853852933603,1.22572246206146,7.58577575029184,1.17637967699262
Si,6.36587969022093,8.05775270659958,9.1201083935591,2.42194840506566
Fe,7.65775831148182,1.53723772626558,7.76247116628691,1.53700397926237
